Merchant Name,Aug 20,Sep 20,Okt 20,Nov 20,Dez 20,Jan 21,Feb 21,Mär 21,Apr 21,Mai 21,Jun 21,Jul 21,Aug 21,Sep 21,Okt 21,Nov 21,Dez 21,Jan 22,Feb 22,Mär 22,Apr 22,Mai 22,Jun 22,Jul 22,Aug 22,Sep 22
Merchant 18,0,1074,0,1131,0,1144,0,1177,0,1174,0,1185,0,1173,0,1175,0,1161,0,1160,0,1161,0,1164,0,1153
Merchant 19,4994,7191,7882,8357,8471,6237,6914,7106,6337,6205,5666,5161,5402,6359,7438,8437,7457,6222,6744,6943,6307,6069,5537,4743,6191,6557
Merchant 20,2,0,0,0,0,0,0,2,0,0,0,0,15,3,0,0,0,0,0,0,0,3,0,20,0,0
Merchant 21,5,17,1439,27,22,1513,22,30,1615,26,33,1685,22,31,1789,22,15,1882,22,50,1970,27,17,2068,44,35
Merchant 22,2,46,196,9,3,2,7,3,9,31,13,0,0,0,0,281,3,0,6,5,11,38,5,9,9,0
Merchant 23,314,325,335,373,362,340,325,351,374,420,378,375,384,403,395,390,395,378,359,374,421,391,414,405,427,442
Merchant 24,51,53,55,39,55,59,88,94,105,74,81,80,65,81,80,81,73,53,79,96,76,98,96,55,74,76
Merchant 25,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,6,0
Merchant 26,622,593,541,578,494,560,490,526,548,584,566,586,572,612,565,639,560,622,597,600,591,614,593,612,584,604
Merchant 27,190,124,249,185,331,3,16207,119,215,255,186,161,177,502,0,208,255,0,17986,24,285,173,33,331,0,3
Merchant 28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchant 29,88,124,122,136,170,144,185,197,133,281,251,266,232,232,238,246,321,250,270,225,250,218,251,288,273,340
Merchant 30,5700,5058,5439,2430,8369,6278,6437,5714,5914,7912,6188,6590,6487,6545,5622,3363,11724,6413,7236,6576,7452,8771,6631,7454,7435,7315
Merchant 31,2,3,6,2,0,2,0,6,5,3,2,3,0,3,0,11,0,0,0,0,0,0,0,0,0,0
Merchant 32,301,318,397,436,436,482,353,370,359,342,436,406,447,456,455,640,555,633,477,487,471,464,508,473,578,562
Merchant 33,0,0,2,0,0,0,0,3,0,2,2,2,3,7,0,3,6,3,3,2,0,0,0,0,0,0
Merchant 34,14669,14170,13551,2009,25090,13782,15910,18219,17365,21233,18263,19463,20696,19278,19095,8075,7287,0,0,0,0,0,0,0,0,0
Merchant 35,6,0,0,130,0,0,2,9,3,2,126,0,6,0,3,162,2,2,7,22,2,2,0,297,2,0
Merchant 36,9,1269,124,5,6,120,1421,1356,176,22,11,1630,5,1430,231,13,2,0,1730,1519,264,9,16,1840,11,1506
Merchant 37,95590,99661,103388,105198,106352,107994,108917,109246,109621,110317,110741,111612,112247,112437,112733,112970,112931,113333,114091,112774,113633,114176,114480,114644,114593,114622
Merchant 38,386,632,541,590,606,521,529,669,493,560,657,548,458,680,506,579,664,526,558,675,560,654,667,657,715,628
Merchant 39,153,151,162,158,164,181,164,172,198,201,190,175,186,198,215,192,225,170,170,150,185,209,179,198,188,186
Merchant 40,3,0,111,18,161,135,22,20,45,18,35,141,0,3,16,177,218,0,164,57,24,11,83,147,0,0
Merchant 41,527,491,481,471,506,469,459,495,512,532,544,545,530,604,555,541,564,495,499,544,530,537,521,532,513,582
Merchant 42,2,329,3,0,321,5,5,390,0,2,427,5,0,442,2,2,447,0,0,0,0,449,456,5,2,469
Merchant 43,0,0,0,0,3150,0,0,0,0,0,0,0,0,0,0,0,3430,0,0,0,0,0,0,0,0,0
Merchant 44,74,28,63,126,109,782,50,41,63,80,296,33,73,44,61,111,98,45,981,74,55,293,123,56,124,30
Merchant 45,6,11,20,11,11,17,22,28,16,22,22,35,33,38,22,52,24,27,18,46,45,56,28,30,33,45
Merchant 46,0,3,2,3,15,22,3,7,2,0,5,3,2,9,0,2,27,16,13,3,7,7,3,13,0,2
Merchant 47,2310,2096,1813,2597,2010,1894,2347,2044,1581,2644,2212,2009,2700,2295,2194,2855,2391,2761,0,0,0,0,0,0,0,0
Merchant 48,17,5,22,141,13,16,39,17,172,48,42,16,15,17,55,27,126,51,37,44,203,33,27,16,48,61
Merchant 49,2,2,2,0,0,9,63,0,0,0,2,0,7,0,2,0,0,13,56,0,3,2,11,5,5,0
Merchant 50,0,0,0,0,0,72,113,101,111,88,151,111,183,122,151,216,179,203,207,240,243,175,266,194,227,161
Merchant 51,70,561,81,159,101,1059,38,107,107,153,131,807,691,45,92,137,1297,190,45,3042,35,243,177,889,0,0
Merchant 52,0,3,13,35,11,0,6,0,6,0,11,9,0,13,24,30,11,0,13,11,0,0,16,0,0,0
Merchant 53,2,3,3,5,11,0,5,5,7,2,3,2,2,3,0,2,6,2,0,2,0,2,0,0,0,0
Merchant 54,61,50,56,53,44,50,46,45,55,59,61,59,61,70,51,52,57,53,55,52,53,53,55,56,55,51
Merchant 55,80,80,88,76,80,81,83,80,85,85,88,92,88,91,101,92,91,83,77,88,85,88,85,83,88,87
Merchant 56,42,76,41,53,61,46,44,66,72,52,80,65,119,81,142,220,150,129,164,142,113,183,126,107,140,119
Merchant 57,0,35,11,9,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchant 58,600,763,742,939,1449,367,1353,1649,2099,2184,2447,2087,1584,2261,1905,2048,2676,385,1619,2408,2236,2364,2665,2408,1943,2234
Merchant 59,107,77,76,76,98,81,87,85,105,105,96,96,129,144,101,101,111,107,112,98,135,115,102,103,164,126
Merchant 60,21949,16212,56002,26702,22257,53777,28729,27423,59608,31550,26556,68199,26846,28252,70546,32090,24757,74904,30339,29055,78613,30248,27286,83074,26957,29659
Merchant 61,3598,4136,3971,3023,1855,1745,1286,299,212,190,87,50,24,22,37,53,0,7,0,0,0,0,0,0,0,0
Merchant 62,3,34,33,13,107,13,15,51,26,16,22,20,0,52,20,37,107,6,17,55,17,22,11,11,5,15
Merchant 63,231,5,201,5,15,11,2,13,218,45,3,281,22,13,255,6,16,17,6,7,300,15,11,323,24,20
Merchant 64,3866,3277,3316,3805,3125,76570,4094,4386,7353,5158,4607,3929,3931,2722,4504,4994,4092,95047,5337,3628,8821,6137,4180,4131,4651,4210
Merchant 65,16,9,3,646,7,28,17,13,11,16,377,11,16,7,11,837,31,3,22,15,26,18,463,27,15,0
Merchant 66,11,0,0,0,0,5,2,0,112,0,2,0,9,2,0,2,2,83,112,7,3,0,120,0,20,107
Merchant 67,584,303,634,347,566,151,927,335,726,351,667,409,695,342,771,38,968,504,724,364,827,396,737,480,776,399
Merchant 68,13,92,7,11,11,158,0,94,103,41,94,126,22,124,2,22,11,197,15,124,73,5,13,0,0,0
Merchant 69,61,59,85,79,242,111,96,76,68,80,65,111,70,77,100,118,419,46,155,28,24,22,31,218,52,137
Merchant 70,116,96,7388,85,76,6248,1892,96,7984,102,94,8454,90,98,8660,129,80,6873,2715,113,9372,116,107,9692,116,161
Merchant 71,0,0,0,0,0,120,0,0,0,0,0,141,0,0,0,0,0,161,0,0,0,0,0,165,0,0
Merchant 72,9,33,15,266,17,7,7,9,13,11,33,7,7,11,59,240,22,9,17,55,13,18,11,17,9,11
Merchant 73,3,5,7,214,300,27,6,30,11,153,3,290,3,3,3,257,366,6,33,41,7,204,30,386,13,11
Merchant 74,122,11,0,0,137,0,161,5,15,166,11,2,324,0,0,3,166,0,161,18,18,187,0,0,177,162
Merchant 75,1882,1787,1789,2238,2099,2583,2204,2628,2225,2536,1598,1615,2112,1996,2110,1426,30,1447,3190,2569,2477,2866,2244,2245,3104,2824
Merchant 76,0,0,0,0,0,120,0,0,0,0,0,137,0,0,0,0,0,153,0,0,0,0,0,158,0,0
Merchant 77,24,22,22,26,27,27,22,22,28,30,30,28,27,30,30,31,30,33,24,27,30,28,31,30,30,28
Merchant 78,22,35,27,15,17,7,9,17,7,7,9,7,6,7,16,13,20,6,7,20,9,7,17,16,0,20
Merchant 79,325,343,445,2617,711,16,877,571,935,436,905,469,835,589,873,567,4430,73,722,554,722,538,562,561,562,640
Merchant 80,1524,1584,1558,1329,1981,1645,419,3055,1700,1793,1720,1850,1558,1850,2056,1921,1864,1896,1885,1949,1918,2066,1876,2021,1872,2034
Merchant 81,18,31,0,4777,39,4956,34,37,5202,68,37,5452,31,33,5703,39,31,5827,44,31,5957,0,56,6042,30,28
Merchant 82,65,68,66,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchant 83,13,11,87,15,177,176,35,194,222,50,53,355,50,26,96,62,207,204,46,214,72,22,107,403,0,0
Merchant 84,7,11,0,0,11,11,7,7,6,7,9,11,9,9,9,9,11,11,11,11,11,0,0,0,0,0
Merchant 85,0,0,0,0,0,53,30,2,0,5,0,2,0,0,0,0,0,74,0,38,0,0,0,0,0,0
Merchant 86,42592,45172,43978,46233,55829,42010,46790,54961,51619,51731,57196,52482,56210,54253,53227,57590,68138,55110,58148,67877,57309,66167,68402,63855,66731,61518
Merchant 87,6,5,6,11,3,2,1586,11,11,7,7,3,5,3,11,11,7,1694,15,9,5,11,5,7,5,100
Merchant 88,44,41,20,56,48,37,74,26,272,30,39,11,27,30,81,83,76,35,26,31,324,37,50,62,26,18
Merchant 89,7,0,15,3,2,22,68,3,2,2,0,9,3,3,6,0,5,18,70,0,0,2,2,9,0,0
Merchant 90,436,0,16,395,16,3,473,11,0,0,447,2,0,497,5,445,0,41,555,2,0,0,0,13,1107,0
Merchant 91,0,2,0,2,0,2,0,0,5,0,2,2,0,0,0,3,0,0,2,9,0,5,0,0,0,0
Merchant 92,4624,7133,2035,46553,62098,5154,6788,14719,5173,4991,5023,4918,6252,4480,5497,106773,5008,6123,7337,14624,5683,5729,5003,5280,6226,4867
Merchant 93,0,3,262,0,0,282,0,0,305,0,0,345,0,0,349,0,2,351,0,2,375,2,0,390,0,0
Merchant 94,35,9,15,13,196,76,16,11,15,216,50,39,50,22,13,7,227,96,13,6,11,59,18,37,85,18
Merchant 95,0,5,133,0,239,2,2,164,2,2,5,250,3,5,157,6,270,7,7,168,5,17,3,0,292,15
Merchant 96,80,74,92,105,92,53,105,85,122,135,98,123,113,112,127,116,88,109,105,88,113,137,105,96,113,116
Merchant 97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchant 98,303,16,324,296,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchant 99,2,11,46,6,0,0,2,7,16,2,0,0,0,7,2,79,0,15,9,2,17,0,0,2,33,0
Merchant 100,115,1422,109,79,1454,179,136,1553,120,96,1581,88,136,1691,83,113,1850,208,196,1952,144,176,2002,109,120,2095
Merchant 101,5,0,599,203,0,2,227,120,634,3,0,5,0,3,0,362,540,0,232,0,138,671,6,2,3,2
Merchant 102,136,136,138,135,135,137,131,119,136,140,131,150,153,159,162,159,164,153,126,140,144,155,144,138,148,159
Merchant 103,56,22,22,177,91,55,68,80,192,161,105,59,74,109,266,187,137,55,77,100,192,243,65,61,62,0
Merchant 104,950,719,660,12166,55,1950,905,1188,996,1157,946,743,920,714,575,13492,50,2177,878,1051,1024,1192,1011,918,856,753
Merchant 105,5037,5115,5230,5284,5310,5365,5434,5458,5511,5468,5613,5712,5703,5808,5831,5849,5873,5916,5858,6027,5923,6228,6208,6086,6159,6212
Merchant 106,22,31,444,320,713,35,57,41,20,854,38,796,6,57,44,929,874,44,38,30,18,1040,38,935,26,44
Merchant 107,80,1549,523,1581,115,2118,81,1674,538,1708,107,2205,70,1739,538,1801,92,2374,92,1921,545,1901,135,2382,101,1990
Merchant 108,8584,8976,6687,11660,9152,10078,8832,9483,10111,8919,9398,10187,9278,9871,10741,9198,9882,10772,11891,9558,5269,14571,10103,10680,9673,10450
Merchant 109,177,150,20143,158,222,20625,307,204,21057,294,366,22109,275,220,22699,194,16331,7200,0,0,0,0,0,0,0,0
Merchant 110,0,18,0,0,11,15,0,18,0,0,7,18,0,35,0,0,0,17,7,16,0,0,0,0,0,0
Merchant 111,323,355,311,349,328,314,299,311,409,345,327,367,408,367,368,377,360,379,316,331,336,392,371,359,373,427
Merchant 112,137,124,151,176,197,2822,207,238,257,208,220,140,165,212,177,203,232,3044,218,317,308,273,268,238,216,236
Merchant 113,123,123,112,130,123,124,107,116,133,122,119,131,137,76,131,119,130,119,102,105,107,112,116,130,123,129
Merchant 114,250,51,0,27,100,50,2365,34,421,72,70,74,48,42,51,247,68,3,3036,80,548,112,70,70,102,88
Merchant 115,6825,5921,11630,6520,6545,11019,7681,5692,13342,5725,7110,12802,7112,5803,13392,1988,6318,19880,8634,6635,3576,22326,8007,17967,8457,6991
Merchant 116,3,3,157,5,3,239,33,3,7,170,3,173,7,3,168,3,3,286,5,5,175,3,3,203,0,7
Merchant 117,616757,40081,43871,34215,695395,49403,503704,184571,43727,47441,661628,49741,196074,514965,50125,42466,732033,26763,532221,221406,62466,681477,41032,51392,263687,261319
Merchant 118,3,3,3,1421,7,0,2,5,0,3,3,2,3,6,0,1334,7,0,2,11,3,3,5,0,0,0
Merchant 119,469,33,158,268,402,6,699,1517,362,144,27,87,484,79,340,207,403,102,926,1643,552,39,31,273,467,79
Merchant 120,5,2,6,50,83,3,0,0,7,18,3,11,0,3,5,48,87,0,0,3,3,13,5,6,3,2
Merchant 121,0,0,0,0,0,61,172,0,0,0,2,0,0,52,0,0,35,85,127,2,3,0,0,0,0,51
Merchant 122,340,336,279,292,277,4735,368,395,357,301,334,299,273,239,215,294,247,5101,353,357,277,373,342,282,286,305
Merchant 123,3,170,5,170,5,355,17,552,6,166,150,177,13,17,2,5,17,18,282,31,345,187,328,390,5,20
Merchant 124,11,15,181,34,52,34,41,935,30,20,53,44,11,17,34,233,48,45,59,1163,39,26,73,46,35,65
Merchant 125,31,20,3363,22,20,3685,24,26,3705,52,22,3985,37,27,3990,31,30,4250,0,0,4233,30,28,4566,48,34
Merchant 126,0,5,0,0,0,0,0,0,0,0,0,22,0,2,33,3,0,0,0,0,0,2,18,0,0,0
Merchant 127,0,0,68,0,0,80,0,0,88,0,0,79,0,0,66,0,0,80,0,76,0,0,0,76,0,0
Merchant 128,5189,4467,4264,36462,4705,4272,5875,4550,4082,13205,4267,3929,5060,4657,4403,37694,4760,4334,5837,4716,4369,13678,4635,4194,5352,4821
Merchant 129,16,0,0,0,133,0,16,3,0,0,147,0,0,0,0,0,159,6,2,0,15,6,162,5,6,22
Merchant 130,0,0,0,17,0,2,0,0,0,0,16,0,6,2,0,30,0,0,5,3,0,6,31,0,6,2
Merchant 131,0,271,176,183,185,194,200,208,218,229,244,258,266,285,296,301,324,325,338,346,368,375,370,384,386,371
Merchant 132,427,2,434,11,5,436,28,5,441,2,0,458,5,318,477,5,7,499,45,3,499,11,3,482,7,357
Merchant 133,0,0,107,0,0,107,0,0,123,0,0,131,0,0,142,2,0,150,0,0,153,0,0,157,0,0
Merchant 134,38,173,45,65,66,16,22,187,31,62,55,46,51,140,11,87,30,16,28,177,35,51,51,18,46,162
Merchant 135,8998,8350,9656,9374,8963,7675,9065,10946,9353,9189,10209,11179,10426,11802,10623,12186,11991,10351,11096,12976,9272,11622,11837,11179,10970,13421
Merchant 136,3,3,3,16,5,96,18,20,6,130,107,7,2,22,0,9,2,109,2,3,22,164,119,2,9,6
Merchant 137,623,7819,791,676,8538,2062,1955,8679,969,880,8919,833,870,9599,959,1068,10658,2439,1839,10984,1252,1260,10754,990,1083,11301
Merchant 138,5,2,2,0,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchant 139,5,13,15,56,17,135,15,11,22,15,5,26,6,6,30,59,7,24,126,11,2,11,7,24,5,5
Merchant 140,3,0,159,5,46,207,18,96,157,3,246,11,3,6,170,3,0,340,0,0,0,0,0,0,0,0
Merchant 141,2,5,223,7,2,11,0,51,7,27,0,201,0,9,48,13,215,11,5,38,11,44,5,238,0,5
Merchant 142,0,9,157,161,3,185,0,3,155,0,3,190,3,6,301,9,7,197,26,7,166,2,11,168,5,51
Merchant 143,39,3471,367,42,3652,392,39,3635,506,35,3761,578,48,3726,628,42,3921,649,38,3787,665,42,38,4857,33,4140
Merchant 144,24531,23861,28149,26020,21420,27072,27137,28574,24878,27140,28402,31620,29420,27822,30515,30712,25070,30962,29495,29415,30023,31579,28372,31862,33287,27423
Merchant 145,428,3,436,3,0,488,11,7,510,0,3,549,5,5,584,2,7,611,3,0,646,5,6,693,13,9
Merchant 146,173,181,173,181,173,181,176,177,196,196,198,192,197,196,192,215,188,188,183,188,183,197,207,192,183,203
Merchant 147,24,16,2045,13,0,1726,22,33,3,2295,26,2238,45,11,2589,31,20,2824,9,9,2768,72,20,2810,28,35
Merchant 148,1170,1337,1255,1305,1383,1201,1031,1386,1573,1305,1412,1456,1450,1386,1360,1530,1536,1345,1425,1515,1429,1471,1515,1373,1447,1473
Merchant 149,0,0,364,3,5,311,3,0,314,0,192,123,0,3,306,150,0,374,0,3,413,7,3,388,6,3
Merchant 150,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
Merchant 151,137,0,0,0,359,0,91,0,0,384,0,203,0,0,318,197,131,0,260,0,0,0,0,0,0,9
Merchant 152,28,31,2397,66,1680,728,42,16,2606,66,37,2619,38,30,2765,72,1279,1508,39,46,2949,68,1159,1855,37,38
Merchant 153,2,17,15,5,7,15,5,17,7,170,15,31,22,0,37,18,24,16,17,22,3,185,0,55,13,27
Merchant 154,28,24,26,26,22,31,22,28,30,28,30,31,31,26,30,28,34,28,33,34,30,33,27,35,33,34
Merchant 155,226,266,268,490,343,266,299,292,331,327,345,288,277,343,222,11,13,9,0,0,0,0,0,0,0,0
Merchant 156,14656,14912,15086,15325,15581,15859,16208,16399,16461,16667,16909,17084,17323,17437,17609,17716,18090,18235,18369,18389,18472,18548,18600,18629,18640,18642
Merchant 157,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0
Merchant 158,1978,2448,1994,2650,1490,3811,2561,2589,2079,2262,2742,1948,2404,2902,2203,2480,3630,2378,2547,3060,2364,2580,2887,2095,2876,2304
Merchant 159,72,66,708,548,34,516,31,34,90,74,92,68,48,137,622,1022,53,299,423,42,112,68,142,113,107,148
Merchant 160,0,151,0,158,0,170,0,158,0,177,0,183,0,192,0,194,0,209,0,203,0,220,0,232,0,222
Merchant 161,15,6,46,227,22,15,35,48,297,17,17,5,17,41,9,251,9,13,38,52,311,17,17,7,18,45
Merchant 162,0,2,506,3,3,515,0,9,532,2,5,519,2,0,536,0,0,523,3,57,544,2,5,565,16,3
Merchant 163,0,0,0,2,11,318,208,44,0,0,0,384,2,0,0,13,11,362,229,13,42,3,3,420,3,0
Merchant 164,0,0,153,90,83,0,0,26,92,73,6,6,0,0,107,130,111,15,0,37,120,0,20,0,0,0
Merchant 165,5,7,37,7,15,0,754,11,28,22,3,838,9,27,70,22,2,1011,13,15,76,3,0,1107,15,11
Merchant 166,5,2177,33,33,2240,138,39,2290,165,27,2395,142,20,2441,142,48,2347,564,173,5,2861,42,22,2911,66,2720
Merchant 167,6,18,31,183,31,22,113,491,56,26,41,22,13,11,140,102,51,31,141,510,20,0,0,13,22,6
Merchant 168,798,820,796,802,811,771,770,759,816,841,877,918,989,1004,993,1059,998,1020,1003,1008,1026,1035,1008,1015,1036,1068
Merchant 169,909,7,912,6,915,251,1110,11,927,11,937,13,933,5,942,7,1103,123,1181,26,998,18,0,1025,1005,9
Merchant 170,53651,50181,49305,20352,93056,56193,62070,71427,66113,78014,68652,71898,75364,70720,69477,29376,195386,134452,135365,135325,137528,162870,135925,141686,148291,140099
Merchant 171,2469,2350,2402,2079,2210,39177,2876,3057,2935,2683,2700,3417,2142,2447,2175,2392,2720,42110,3047,3417,2988,2931,3154,3405,2345,2811
Merchant 172,13718,2245,2181,15169,2208,2968,2403,16250,2539,16711,2899,2861,17407,2782,2997,18868,1122,5033,3037,27208,3388,20315,8192,4280,21928,4622
Merchant 173,6707,5858,4813,5934,4601,5904,5504,6550,5180,5819,6396,5518,6023,7780,5613,7048,5683,7195,5993,7158,6182,7156,6222,7130,6340,7729
Merchant 174,307,497,316,327,578,357,362,615,362,367,615,362,362,634,371,375,672,371,367,652,356,366,674,371,374,711
Merchant 175,59,65,92,74,74,116,81,90,119,103,105,137,112,113,142,113,123,161,133,130,170,147,151,181,148,153
Merchant 176,0,2,192,0,0,273,0,0,351,2,2,459,3,3,540,3,3,667,3,5,819,5,5,963,7,9
Merchant 177,1581,1650,1588,1615,1592,1528,1443,1461,1609,1628,1680,1712,1737,1772,1789,1785,1766,1761,1768,1716,1743,1711,1709,1833,1712,1762
Merchant 178,255,170,188,549,186,179,3179,1150,340,253,166,360,157,272,386,343,300,859,4736,506,359,595,742,318,192,430
Merchant 179,48,24,59,181,68,26,61,98,83,27,61,98,34,57,96,240,98,50,157,35,79,73,65,101,17,65
Merchant 180,9,15,6,11,11,9,5,6,6,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchant 181,0,334,7,0,2,458,0,456,20,2,466,22,0,469,16,0,0,490,0,494,17,2,480,3,22,529
Merchant 182,11,130,13,0,30,2,62,41,0,2,0,0,9,35,11,0,0,2,5,7,0,0,0,0,0,0
Merchant 183,13,11,312,366,41,37,26,312,133,24,17,34,11,38,185,558,68,33,41,343,140,16,24,31,27,13
Merchant 184,3,1279,168,998,293,205,1075,1356,216,0,1401,1325,30,316,1337,2,1462,176,1178,1473,170,5,1484,153,1196,285
Merchant 185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,9,6,18,11
Merchant 186,296,310,338,343,292,270,264,305,362,340,420,347,367,391,388,395,364,362,334,384,362,425,349,374,377,378
Merchant 187,6,6,3,3,6,5,0,2,0,0,3,0,3,0,0,7,0,26,30,46,38,68,57,30,57,13
Merchant 188,38,131,72,756,314,501,490,502,3348,283,312,583,27,272,561,300,385,272,6,236,288,328,436,1081,39,362
Merchant 189,1815,1820,6584,1874,1876,4577,1922,1940,4669,2000,2045,5029,2119,2123,5134,2233,2238,5653,2301,2321,5459,2339,2353,5897,2400,2386
Merchant 190,318,342,338,340,367,353,357,364,345,357,373,360,362,371,357,359,377,359,355,379,373,371,386,373,374,393
Merchant 191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
Merchant 192,3,6,669,0,0,0,809,3,696,6,2,529,3,0,719,0,3,834,2,2,0,739,44,2,810,3
Merchant 193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchant 194,138,5,5,0,0,2,2,2,0,131,13,5,11,6,17,7,26,3,5,13,24,27,188,11,26,11
Merchant 195,253,258,103,135,144,381,77,129,107,1174,260,52,317,409,192,161,233,445,811,179,164,617,151,46,272,318
Merchant 196,7,20,5,0,87,3,0,59,113,6,91,11,0,15,5,3,96,48,2,13,111,100,5,15,2,22
Merchant 197,0,0,0,0,172,0,0,0,0,0,0,181,0,0,0,0,190,0,0,0,0,0,0,188,0,0
Merchant 198,129,181,273,236,260,55,183,183,323,226,3645,179,129,172,299,226,299,79,158,201,405,249,4194,192,164,218
Merchant 199,146,162,136,102,94,115,244,159,120,116,172,116,208,170,27,198,105,112,266,159,151,120,107,118,175,151
Merchant 200,41,456,50,6,11,487,9,51,63,470,15,53,39,510,28,24,480,88,57,2,61,548,11,59,44,565
Merchant 201,0,0,2,0,2,5,85,0,2,0,2,2,7,2,5,3,5,85,0,3,22,7,7,0,2,2
Merchant 202,0,3,11,11,9,11,13,9,11,16,27,17,9,9,11,15,22,3,15,15,6,0,0,0,0,0
Merchant 203,5,88,11,11,26,165,3,26,16,127,15,44,13,258,26,96,77,0,220,116,215,68,102,31,159,17
Merchant 204,0,2,3,2,3,3,2,170,9,13,9,261,2,5,0,3,3,56,0,242,6,20,22,239,5,2
Merchant 205,9,72,325,244,487,17,451,3,162,88,362,3,2,11,85,469,770,11,501,16,138,126,494,77,13,103
Merchant 206,0,0,0,0,0,0,10320,0,0,0,0,0,0,0,0,0,0,0,0,10925,0,0,0,0,0,0
Merchant 207,861,1214,872,869,1269,920,942,1338,963,966,1395,997,987,1410,1007,1025,1454,1055,1004,1462,1037,1076,1523,1155,1192,1696
Merchant 208,1011,1110,1116,946,1048,14475,2293,1255,1503,1116,1449,1142,1182,1340,1124,1214,1097,16596,1515,1768,1416,1495,1414,1201,1121,1458
Merchant 209,0,0,15040,0,0,30889,0,0,0,0,17337,0,0,0,16892,0,0,35111,0,0,0,0,19280,0,0,0
Merchant 210,92,74,28,179,342,6,0,90,393,11,385,377,7,177,73,239,65,334,146,57,436,94,467,366,44,211
Merchant 211,38,42,51,52,50,42,44,42,50,46,48,52,56,46,56,65,59,56,42,48,62,52,56,48,56,0
Merchant 212,5,33,0,325,5,61,48,85,286,11,3,56,6,79,320,30,11,26,16,15,390,9,5,22,7,5
